transaction_id,date,hour,time_slot,city,persona,is_weekend,temp_f,cpi,category,product_name,size,base_price,customizations,n_customizations,upcharge,total_price,calories,sugar_g,caffeine_mg
TXN-000001,2024-07-12,10,late_morning,Seattle,morning_commuter,0,67.9,314.1,Classic Espresso Drinks,Caffè Latte,Grande,4.21,none,0,0.0,4.99,100,9,75.0
TXN-000002,2024-07-09,8,morning_rush,New York,student,0,80.6,314.1,Classic Espresso Drinks,Caffè Latte,Grande,4.21,Whipped Cream,1,0.0,4.99,100,9,75.0
TXN-000003,2024-10-07,7,morning_rush,New York,health_conscious,0,65.6,316.5,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande,4.21,Whipped Cream,1,0.0,5.03,130,17,75.0
TXN-000004,2025-06-29,7,morning_rush,Los Angeles,weekend_explorer,1,72.4,322.2,Classic Espresso Drinks,Caffè Americano,Grande,4.23,none,0,0.0,5.14,15,0,225.0
TXN-000005,2024-12-27,6,early_morning,New York,morning_commuter,0,25.1,319.0,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande,5.08,none,0,0.0,6.12,200,38,0.0
TXN-000006,2024-11-03,9,morning_rush,New York,student,1,45.5,317.6,Classic Espresso Drinks,Caffè Latte,Tall,3.94,Vanilla Syrup,1,0.6,5.44,100,14,75.0
TXN-000007,2024-05-11,12,lunch,Houston,weekend_explorer,1,74.1,313.0,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande,4.3,Oat Milk,1,0.7,5.91,130,17,85.0
TXN-000008,2025-05-03,11,late_morning,Chicago,student,1,45.5,321.4,Signature Espresso Drinks,Caramel Macchiato,Venti,5.9,none,0,0.0,7.16,240,41,150.0
TXN-000009,2026-02-28,13,lunch,Los Angeles,weekend_explorer,1,70.5,327.5,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti,5.4,none,0,0.0,6.67,420,84,145.0
TXN-000010,2025-12-24,6,early_morning,Seattle,weekend_explorer,0,44.1,326.6,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall,4.59,Mocha Sauce,1,0.6,6.4,270,45,75.0
TXN-000011,2024-12-24,10,late_morning,New York,afternoon_treat,0,29.0,319.0,Smoothies,Banana Chocolate Smoothie,Grande,5.24,Extra Shot,1,0.8,7.27,280,34,
TXN-000012,2024-12-03,10,late_morning,Los Angeles,student,0,59.5,319.0,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti,5.54,none,0,0.0,6.67,310,69,0.0
TXN-000013,2025-05-08,10,late_morning,Seattle,weekend_explorer,0,53.0,321.4,Classic Espresso Drinks,Caffè Americano,Grande,4.23,none,0,0.0,5.13,15,0,225.0
TXN-000014,2026-01-01,10,late_morning,Los Angeles,student,0,59.6,326.6,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti,4.77,none,0,0.0,5.88,160,36,125.0
TXN-000015,2025-10-24,17,evening,New York,weekend_explorer,0,50.4,325.1,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.24,90,18,
TXN-000016,2025-05-27,7,morning_rush,Los Angeles,health_conscious,0,67.2,321.4,Tazo® Tea Drinks,Tazo® Tea,Tall,3.25,none,0,0.0,3.94,0,0,
TXN-000017,2024-09-10,7,morning_rush,Los Angeles,morning_commuter,0,81.9,315.6,Signature Espresso Drinks,Caramel Macchiato,Grande,4.97,none,0,0.0,5.92,120,15,75.0
TXN-000018,2024-10-12,9,morning_rush,Los Angeles,student,1,67.5,316.5,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande,5.08,none,0,0.0,6.07,200,40,70.0
TXN-000019,2025-10-15,11,late_morning,Seattle,health_conscious,0,48.3,325.1,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti,3.94,Oat Milk,1,0.7,5.69,190,39,
TXN-000020,2025-08-31,14,afternoon,Chicago,morning_commuter,1,66.2,324.2,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti,5.59,none,0,0.0,6.84,450,74,150.0
TXN-000021,2025-02-17,8,morning_rush,Los Angeles,morning_commuter,0,57.0,319.8,Coffee,Brewed Coffee,Grande,2.55,Vanilla Syrup,1,0.6,3.8,5,0,330.0
TXN-000022,2025-05-13,7,morning_rush,Houston,health_conscious,0,78.8,321.4,Classic Espresso Drinks,Caffè Latte,Grande,4.21,Vanilla Syrup,1,0.6,5.84,100,9,75.0
TXN-000023,2024-10-07,6,early_morning,New York,health_conscious,0,65.6,316.5,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall,3.61,none,0,0.0,4.31,170,27,95.0
TXN-000024,2026-01-16,7,morning_rush,Houston,health_conscious,0,57.0,327.5,Coffee,Brewed Coffee,Grande,2.55,Extra Shot|Vanilla Syrup|Whipped Cream,3,1.4,4.88,5,0,330.0
TXN-000025,2024-07-05,14,afternoon,Los Angeles,student,0,75.0,314.1,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti,5.3,Vanilla Syrup|Whipped Cream|Cold Foam,3,1.6,8.18,330,77,130.0
TXN-000026,2024-05-17,15,afternoon,New York,weekend_explorer,0,63.4,313.0,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande,5.53,Vanilla Syrup|Mocha Sauce,2,1.2,7.95,240,44,75.0
TXN-000027,2025-11-29,9,morning_rush,Seattle,weekend_explorer,1,43.1,326.0,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Grande,4.32,none,0,0.0,5.32,130,33,
TXN-000028,2026-02-19,10,late_morning,Los Angeles,morning_commuter,0,48.6,327.5,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti,4.77,none,0,0.0,5.9,160,36,125.0
TXN-000029,2025-10-08,7,morning_rush,New York,morning_commuter,0,66.6,325.1,Classic Espresso Drinks,Caffè Americano,Tall,3.85,Vanilla Syrup|Whipped Cream,2,0.6,5.46,10,0,150.0
TXN-000030,2025-05-18,20,evening,New York,health_conscious,1,66.3,321.4,Classic Espresso Drinks,Cappuccino,Venti,4.77,none,0,0.0,5.79,110,14,150.0
TXN-000031,2025-09-30,11,late_morning,Chicago,student,0,70.3,,Frappuccino® Blended Coffee,Coffee,Venti,5.43,none,0,0.0,,310,69,95.0
TXN-000032,2024-12-29,10,late_morning,Los Angeles,student,1,53.3,319.0,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall,4.08,none,0,0.0,4.91,80,18,90.0
TXN-000033,2024-06-15,13,lunch,Chicago,weekend_explorer,1,72.2,313.6,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande,3.76,none,0,0.0,4.45,90,15,
TXN-000034,2025-05-03,12,lunch,Los Angeles,health_conscious,1,62.3,321.4,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande,5.53,none,0,0.0,6.71,240,44,75.0
TXN-000035,2024-12-09,7,morning_rush,Seattle,afternoon_treat,0,42.7,319.0,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall,4.56,none,0,0.0,5.49,170,38,0.0
TXN-000036,2024-06-09,9,morning_rush,Seattle,health_conscious,1,61.4,313.6,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Tall,4.6,Extra Shot|Caramel Drizzle|Oat Milk|Whipped Cream,4,2.1,7.93,210,49,0.0
TXN-000037,2025-03-14,11,late_morning,Houston,afternoon_treat,0,73.1,320.3,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti,5.31,none,0,0.0,6.42,340,76,140.0
TXN-000038,2024-09-20,12,lunch,New York,weekend_explorer,0,71.6,315.6,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,Extra Shot,1,0.8,6.04,90,18,
TXN-000039,2024-04-12,7,morning_rush,Houston,morning_commuter,0,64.5,313.2,Classic Espresso Drinks,Caffè Latte,Grande,4.21,Vanilla Syrup,1,0.6,5.69,100,9,75.0
TXN-000040,2025-07-05,14,afternoon,Los Angeles,afternoon_treat,1,73.6,323.3,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.21,90,18,
TXN-000041,2024-04-10,9,morning_rush,Houston,weekend_explorer,0,68.6,313.2,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall,4.71,none,0,0.0,5.57,190,32,20.0
TXN-000042,2025-01-07,14,afternoon,Chicago,weekend_explorer,0,21.3,319.7,Classic Espresso Drinks,Caffè Latte,Grande,4.21,Extra Shot,1,0.8,6.04,100,9,75.0
TXN-000043,2025-07-02,7,morning_rush,Chicago,morning_commuter,0,80.2,323.3,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Tall,4.08,none,0,0.0,4.98,80,18,90.0
TXN-000044,2024-05-04,8,morning_rush,Chicago,morning_commuter,1,59.9,313.0,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande,5.2,none,0,0.0,6.14,150,22,10.0
TXN-000045,2024-11-22,11,late_morning,Los Angeles,weekend_explorer,0,58.8,317.6,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Venti,5.59,none,0,0.0,6.7,450,74,150.0
TXN-000046,2025-06-09,13,lunch,Houston,afternoon_treat,0,82.5,322.2,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,Whipped Cream|Mocha Sauce,2,0.6,5.92,90,18,
TXN-000047,2025-06-24,9,morning_rush,Chicago,health_conscious,0,82.1,322.2,Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall,3.24,none,0,0.0,3.94,210,41,55.0
TXN-000048,2024-05-31,6,early_morning,New York,morning_commuter,0,65.5,313.0,Coffee,Brewed Coffee,Grande,2.55,none,0,0.0,3.01,5,0,330.0
TXN-000049,2025-09-06,7,morning_rush,New York,health_conscious,1,74.6,,Coffee,Brewed Coffee,Grande,2.55,none,0,0.0,,5,0,330.0
TXN-000050,2024-05-26,8,morning_rush,Seattle,weekend_explorer,1,53.1,313.0,Frappuccino® Light Blended Coffee,Coffee,Grande,4.68,none,0,0.0,5.53,120,26,95.0
TXN-000051,2025-01-28,12,lunch,Chicago,afternoon_treat,0,36.2,319.7,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande,3.76,Extra Shot|Whipped Cream,2,0.8,5.5,90,15,
TXN-000052,2024-04-15,9,morning_rush,New York,student,0,64.7,313.2,Coffee,Brewed Coffee,Grande,2.55,none,0,0.0,3.01,5,0,330.0
TXN-000053,2024-05-04,15,afternoon,Los Angeles,student,1,61.4,313.0,Coffee,Brewed Coffee,Venti,2.92,Whipped Cream,1,0.0,3.45,5,0,410.0
TXN-000054,2025-08-29,11,late_morning,Seattle,morning_commuter,0,68.2,324.2,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,4.34,none,0,0.0,5.31,90,21,165.0
TXN-000055,2025-09-30,12,lunch,Houston,weekend_explorer,0,82.4,,Frappuccino® Light Blended Coffee,Java Chip,Grande,4.59,none,0,0.0,,220,39,105.0
TXN-000056,2024-07-27,16,afternoon,Seattle,afternoon_treat,1,65.6,314.1,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall,4.53,none,0,0.0,5.37,220,44,75.0
TXN-000057,2024-04-13,5,early_morning,Los Angeles,morning_commuter,1,57.7,313.2,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande,5.0,none,0,0.0,5.91,200,41,70.0
TXN-000058,2025-11-27,15,afternoon,New York,weekend_explorer,0,42.1,326.0,Classic Espresso Drinks,Cappuccino,Venti,4.77,Extra Shot|Whipped Cream,2,0.8,6.85,110,14,150.0
